USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.4 159928  8252 ?        Ss   4月04   0:04 /sbin/init splash
root        210  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_2]
root        211  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_2]
root        212  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_3]
root        213  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_3]
root        214  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_4]
root        215  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_4]
root        216  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_5]
root        217  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_5]
root        218  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_6]
root        219  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_6]
root        220  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_7]
root        221  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_7]
root        222  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_8]
root        223  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_8]
root        224  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_9]
root        225  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_9]
root        226  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_10]
root        227  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_10]
root        228  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_11]
root        229  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_11]
root        230  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_12]
root        231  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_12]
root        232  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_13]
root        233  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_13]
root        234  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_14]
root        235  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_14]
root        236  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_15]
root        237  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_15]
root        238  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_16]
root        239  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_16]
root        240  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_17]
root        241  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_17]
root        242  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_18]
root        243  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_18]
root        244  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_19]
root        245  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_19]
root        246  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_20]
root        247  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_20]
root        248  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_21]
root        249  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_21]
root        250  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_22]
root        251  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_22]
root        252  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_23]
root        253  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_23]
root        254  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_24]
root        255  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_24]
root        256  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_25]
root        257  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_25]
root        258  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_26]
root        259  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_26]
root        260  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_27]
root        261  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_27]
root        262  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_28]
root        263  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_28]
root        264  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_29]
root        265  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_29]
root        266  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_30]
root        267  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_30]
root        268  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_31]
root        269  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_31]
root        287  0.0  0.0      0     0 ?        S    4月04   0:00 [scsi_eh_32]
root        296  0.0  0.0      0     0 ?        I<   4月04   0:00 [scsi_tmf_32]
root        300  0.0  0.0      0     0 ?        I<   4月04   0:01 [kworker/0:1H-kb]
root        330  0.0  0.0      0     0 ?        S    4月04   0:00 [jbd2/sda1-8]
root        331  0.0  0.0      0     0 ?        I<   4月04   0:00 [ext4-rsv-conver]
root        380  0.0  0.5 103492 11680 ?        S<s  4月04   0:01 /lib/systemd/systemd-journald
root        390  0.0  0.1  46552  2808 ?        Ss   4月04   0:00 /lib/systemd/systemd-udevd
root        393  0.2  0.0      0     0 ?        I    4月04   0:26 [kworker/0:3-eve]
root        396  0.0  0.0      0     0 ?        S<   4月04   0:00 [loop0]
root        397  0.0  0.0      0     0 ?        S<   4月04   0:00 [loop1]
root        399  0.0  0.0      0     0 ?        S<   4月04   0:00 [loop2]
root        401  0.0  0.0      0     0 ?        S<   4月04   0:00 [loop3]
root        405  0.0  0.0      0     0 ?        S<   4月04   0:00 [loop4]
root        415  0.0  0.0      0     0 ?        S<   4月04   0:00 [loop5]
root        420  0.0  0.0      0     0 ?        S<   4月04   0:00 [loop6]
root        422  0.0  0.0      0     0 ?        S<   4月04   0:00 [loop7]
root        424  0.0  0.0      0     0 ?        S<   4月04   0:00 [loop8]
root        431  0.0  0.0      0     0 ?        S<   4月04   0:00 [loop9]
root        433  0.0  0.0      0     0 ?        S<   4月04   0:00 [loop10]
root        437  0.0  0.0      0     0 ?        S<   4月04   0:00 [loop11]
root        439  0.0  0.0      0     0 ?        S<   4月04   0:00 [loop12]
root        442  0.0  0.0      0     0 ?        S<   4月04   0:00 [loop13]
root        443  0.0  0.0      0     0 ?        S<   4月04   0:00 [loop14]
root        444  0.0  0.0      0     0 ?        S<   4月04   0:00 [loop15]
root        445  0.0  0.0      0     0 ?        S<   4月04   0:00 [loop16]
root        453  0.0  0.0      0     0 ?        S<   4月04   0:00 [loop17]
systemd+    519  0.0  0.1 146132  2816 ?        Ssl  4月04   0:00 /lib/systemd/systemd-timesyncd
systemd+    520  0.0  0.2  70780  5540 ?        Ss   4月04   0:00 /lib/systemd/systemd-resolved
avahi       618  0.0  0.1  47256  2780 ?        Ss   4月04   0:00 avahi-daemon: running [xy-virtual-machine.local]
root        625  0.0  0.0   4548   652 ?        Ss   4月04   0:00 /usr/sbin/acpid
avahi       627  0.0  0.0  47076    28 ?        S    4月04   0:00 avahi-daemon: chroot helper
message+    640  0.0  0.2  51552  5484 ?        Ss   4月04   0:01 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root        649  0.0  0.1  45228  3324 ?        Ss   4月04   0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root        650  0.0  0.1  33068  3008 ?        Ss   4月04   0:00 /usr/sbin/cron -f
syslog      655  0.0  0.1 263036  3088 ?        Ssl  4月04   0:00 /usr/sbin/rsyslogd -n
root        656  0.0  0.3 434320  6048 ?        Ssl  4月04   0:00 /usr/sbin/ModemManager --filter-policy=strict
root        657  0.0  0.7 172280 15960 ?        Ssl  4月04   0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root        658  0.0  0.2  70824  5720 ?        Ss   4月04   0:00 /lib/systemd/systemd-logind
root        663  0.0  0.4 503340  8376 ?        Ssl  4月04   0:00 /usr/lib/udisks2/udisksd
root        666  0.0  0.6 562876 13536 ?        Ssl  4月04   0:01 /usr/sbin/NetworkManager --no-daemon
root        667  0.0  0.3 289744  6532 ?        Ssl  4月04   0:00 /usr/lib/accountsservice/accounts-daemon
root        668  0.0  0.8 697104 16764 ?        Ssl  4月04   0:04 /usr/lib/snapd/snapd
root        690  0.0  0.4 292944  8692 ?        Ssl  4月04   0:00 /usr/lib/policykit-1/polkitd --no-debug
root        736  0.0  0.9 188980 19108 ?        Ssl  4月04   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        751  0.0  0.3 302948  7648 ?        Ssl  4月04   0:00 /usr/sbin/gdm3
root        758  0.0  0.1  72300  3816 ?        Ss   4月04   0:00 /usr/sbin/sshd -D
root        973  0.0  0.3 317052  7944 ?        Ssl  4月04   0:00 /usr/lib/upower/upowerd
root       1002  0.0  0.0      0     0 ?        I<   4月04   0:00 [kworker/u257:2-]
root       1045  0.0  0.0      0     0 ?        S    4月04   0:00 [irq/16-vmwgfx]
root       1047  0.0  0.0      0     0 ?        I<   4月04   0:00 [ttm_swap]
root       1088  0.0  0.4 256420  8072 ?        Sl   4月04   0:00 gdm-session-worker [pam/gdm-launch-environment]
root       1107  0.0  0.0 193120   608 ?        Ssl  4月04   0:00 /usr/sbin/vmware-vmblock-fuse -o subtype=vmware-vmblock,default_permissions,allow_other /var/run/vmblock-fuse
gdm        1113  0.0  0.3  76960  7708 ?        Ss   4月04   0:00 /lib/systemd/systemd --user
gdm        1114  0.0  0.0 113948  1272 ?        S    4月04   0:00 (sd-pam)
gdm        1140  0.0  0.2 206892  5716 tty1     Ssl+ 4月04   0:00 /usr/lib/gdm3/gdm-x-session gnome-session --autostart /usr/share/gdm/greeter/autostart
gdm        1142  0.0  2.2 359216 44856 tty1     Sl+  4月04   0:01 /usr/lib/xorg/Xorg vt1 -displayfd 3 -auth /run/user/121/gdm/Xauthority -background none -noreset -keeptty -verbose 3
root       1148  0.2  0.6 189268 12988 ?        Sl   4月04   0:30 /usr/sbin/vmtoolsd
root       1198  0.0  0.5  67380 10816 ?        S    4月04   0:00 /usr/lib/vmware-vgauth/VGAuthService -s
whoopsie   1206  0.0  0.6 538048 12108 ?        Ssl  4月04   0:00 /usr/bin/whoopsie -f
kernoops   1207  0.0  0.0  56940   420 ?        Ss   4月04   0:00 /usr/sbin/kerneloops --test
kernoops   1209  0.0  0.0  56940   416 ?        Ss   4月04   0:00 /usr/sbin/kerneloops
root       1238  0.0  0.0      0     0 ?        I<   4月04   0:00 [cryptd]
gdm        1305  0.0  0.2  50256  4404 ?        Ss   4月04   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gdm        1310  0.0  0.6 627676 12976 tty1     Sl+  4月04   0:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
root       1323  0.0  0.2  36480  4512 ?        Ss   4月04   0:00 /usr/lib/bluetooth/bluetoothd
gdm        1334  0.0  0.3 349288  6044 ?        Ssl  4月04   0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
gdm        1343  0.0  0.1  49924  3936 ?        S    4月04   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
gdm        1347  0.0  0.3 220708  6764 ?        Sl   4月04   0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
gdm        1415  0.0  7.5 2917412 151620 tty1   Sl+  4月04   0:04 /usr/bin/gnome-shell
gdm        1491  0.0  0.5 1148144 11072 ?       Ssl  4月04   0:00 /usr/bin/pulseaudio --daemonize=no
rtkit      1493  0.0  0.1 183504  2936 ?        SNsl 4月04   0:00 /usr/lib/rtkit/rtkit-daemon
gdm        1505  0.0  0.3 356320  7440 tty1     Sl   4月04   0:00 ibus-daemon --xim --panel disable
gdm        1508  0.0  0.2 275624  5524 tty1     Sl   4月04   0:00 /usr/lib/ibus/ibus-dconf
gdm        1510  0.0  1.0 339340 20608 tty1     Sl   4月04   0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
gdm        1513  0.0  0.2 273568  5584 ?        Sl   4月04   0:00 /usr/lib/ibus/ibus-portal
gdm        1523  0.0  0.2 266440  4868 ?        Ssl  4月04   0:00 /usr/libexec/xdg-permission-store
root       1533  0.0  0.3 291724  6616 ?        Ssl  4月04   0:00 /usr/lib/x86_64-linux-gnu/boltd
root       1536  0.1  1.8 517308 36352 ?        Ssl  4月04   0:11 /usr/lib/packagekit/packagekitd
gdm        1540  0.0  1.0 489916 21556 tty1     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
gdm        1544  0.0  0.2 273084  5652 tty1     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
gdm        1545  0.0  0.9 338988 19992 tty1     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
gdm        1547  0.0  1.0 654208 21452 tty1     Sl+  4月04   0:02 /usr/lib/gnome-settings-daemon/gsd-color
gdm        1549  0.0  0.6 388508 12828 tty1     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
gdm        1550  0.0  0.2 278528  5744 tty1     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
gdm        1552  0.0  1.0 501924 20896 tty1     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
gdm        1554  0.0  1.1 788356 22420 tty1     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
gdm        1557  0.0  0.2 196788  4480 tty1     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
gdm        1560  0.0  1.0 512620 21960 tty1     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-power
gdm        1564  0.0  0.4 261804  8448 tty1     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
gdm        1565  0.0  0.2 196808  4296 tty1     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
gdm        1567  0.0  0.2 270524  4592 tty1     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
gdm        1569  0.0  0.3 300176  7992 tty1     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
gdm        1572  0.0  0.4 373004  8432 tty1     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
gdm        1576  0.0  0.3 327792  7452 tty1     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-sound
gdm        1581  0.0  0.9 423436 19520 tty1     Sl+  4月04   0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
